objectid,filename,title,format,subject,location,color,stone_type,chakra_alignment,zodiac_association
item_001,Citrine.jpg,Citrine,image/jpeg,Dreams; Joy; Creativity; Inspiration; Abundance; Protection,"Bloomington, Indiana",Yellow,Raw crystal,Third Eye; Solar Plexus; Sacral; Root,Aries; Gemini; Leo; Libra
item_002,Carnelian.jpg,Carnelian,Image/JPEG,Courage; Confidence; Grounding; Passion; Sexuality; Power,"Charleston, South Carolina",Red,Raw crystal,Solar Plexus; Sacral; Root,Taurus; Cancer; Leo; Virgo
item_003,Opalite.jpg,Opalite,Image/JPEG,Balance; Healing; Confidence; Self-Love,"Bloomington, Indiana",Blue; Yellow; Green; Purple,Tumbled stone,Crown; Third Eye,Cancer; Libra; Scorpio; Pisces; Taurus
item_004,Zebra_jasper.jpg,Zebra Jasper,Image/JPEG,Transformation; Balance; New Beginnings; Intuition; Grounding,"Louisville, Kentucky",White; Black,Tumbled stone,Root,Libra
item_005,Rhodonite.jpg,Rhodonite,Image/JPEG,Clearing Negative Energy; Physical Healing; Empathy; Stress Relief,"Louisville, Kentucky",Pink; Black,Tumbled stone,Heart; Root,Taurus; Sagittarius; Leo
item_006,Infinite.jpg,Infinite,Image/JPEG,Soothing; Physical Healing; Cleansing; Dreams; Compassion,"New Albany, Indiana",Grey; Blue; Green; Brown,Tumbled stone,Heart; Solar Plexus; Sacral; Root,Gemini
item_007,Lapis_Lazuli.jpg,Lapis Lazuli,Image/JPEG,Meditation; Inspiration; Clarity; Truth; Ascension; Lucid Dreaming,"Louisville, Kentucky",Blue,Tumbled stone,Third Eye; Throat,Sagittarius; Aquarius; Pisces
item_008,Peach_moonstone.jpg,Peach Moonstone,Image/JPEG,Motivation; Opportunities; Wisdom; Truth; Self-Love; Nurturing,"Louisville, Kentucky",Orange,Tumbled stone,Crown; Thrid Eye; Heart; Solar Plexus,Scorpio; Libra; Cancer
item_009,Dragonstone.jpg,Dragonstone,Image/JPEG,Communication; Manifestation; Opportunities; Power; Confidence,"Louisville, Kentucky",Red; Green,Tumbled stone,Throat; Heart; Solar Plexus; Sacral,Gemini; Sagittarius
item_010,Moss_agate.jpg,Moss Agate,Image/JPEG,New Beginnings; Resolution; Relaxation; Enlightenment; Nurturing,"Louisville, Kentucky",Green,Tumbled stone,Heart; Root,Virgo 
item_011,Amethyst.jpg,Amethyst,Image/JPEG,Anxiety Relief; Sleep; Wisdom; Focus; Self-Discipline; Clairvoyance,Evansville; Indiana,Purple,Tumbled stone,Crown; Third Eye,Virgo; Sagittarius; Capricorn; Aquarius; Pisces
item_012,Orange_Selenite.jpg,Orange Selenite,Image/JPEG,"Cleansing; Energy Transfer; Consciousness, Purification; Intuition","Charleston, South Carolina",Orange,Tumbled heart,Crown; Third Eye; Throat; Heart; Solar Plexus; Sacral; Root,Pisces; Cancer; Gemini
item_013,Rose_quartz.jpg,Rose Quartz,Image/JPEG,Love and Relationships; Soothing; Self-Love; Empathy; Joy,"Seattle, Washington",Pink,Tumbled stone,Heart,Taurus; Libra; Scorpio
item_014,Clear_quartz.jpg,Clear Quartz (Raw),Image/JPEG,Meditation; Clearing; Enhancing; Expanded Awareness; Protection,"Charleston, South Carolina",Clear,Raw crystal,Crown; Third Eye; Throat; Heart; Solar Plexus; Sacral; Root,Aries; Taurus; Gemini; Cancer; Leo; Virgo; Libra; Scorpio; Sagittarius; Capricorn; Aquarius; Pisces
item_015,Red_Jasper.jpg,Red Jasper,Image/JPEG,Organization; Motivation; Courage; Relaxation; Peace; Power; Trust,"Evansville, Indiana",Red,Tumbled stone,Sacral; Root,Scorpio; Libra
item_016,Malachite.jpg,Malachite,Image/JPEG,Transformation; Confidence; Prosperity; Leadership; Cleansing,"New Albany, Indiana",Green,Tower,Heart; Solar Plexus,Scorpio; Capricorn
item_017,Tigers_Eye.jpg,Tiger's Eye,Image/JPEG,Strength; Creativity; Protection; Prosperity; Longevity; Luck,"Indianapolis, Indiana",Brown; Yellow; Gold,Tumbled stone,Solar Plexus; Sacral; Root,Leo; Capricorn
item_018,Aventurine.jpg,Green Aventurine,Image/JPEG,Joy; Strength; Balance; Abundance; Luck,"Evansville, Indiana",Green,Tumbled stone,Heart,Leo; Aries
item_019,Clear_quartz_tumbled.jpg,Clear Quartz (Tumbled),Image/JPEG,Meditation; Clearing; Enhancing; Expanded Awareness; Protection,"Evansville, Indiana",Clear,Tumbled stone,Crown; Third Eye; Throat; Heart; Solar Plexus; Sacral; Root,Aries; Taurus; Gemini; Cancer; Leo; Virgo; Libra; Scorpio; Sagittarius; Capricorn; Aquarius; Pisces
item_020,Moonstone.jpg,Moonstone,Image/JPEG,Generosity; Dreams; Intuition; Nourishing and Rejuvination; Fertility; Empathy,"Evansville, Indiana",White,Tumbled stone,Crown; Third Eye,Cancer; Libra; Scorpio
item_021,Sodalite.jpg,Sodalite,Image/JPEG,Communication; Psychic Abilities; Intuition; Truth; Meditation,"Evansville, Indiana",Blue; White,Tumbled stone,Third Eye; Throat,Sagittarius
item_022,Aquamarine.jpg,Aquamarine,Image/JPEG,Inspiration; Calming and Patience; Expanded Awareness; Inner Peace,"Louisville, Kentucky",Light Blue; Green,Tumbled stone,Throat; Heart,Aries; Gemini; Pisces
item_023,Larimar.jpg,Larimar,Image/JPEG,Resolution; New Beginnings; Self-Discipline; Purpose; Knowledge,"Bloomington, Indiana",Light Blue; Blue; Brown,Tumbled stone,Throat,Leo
item_024,Orange_Calcite.jpg,Orange Calcite,Image/JPEG,Meditation; Fertility; Sexuality; Confidence; Energy Transfer,"Bloomington, Indiana",Orange; Yellow,Tumbled stone,Solar Plexus; Sacral ,Cancer
item_025,Blue_Tourmaline.jpg,Blue Tourmaline,Image/JPEG,Insight; Lucid Dreaming; Inner Peace; Intuition; Joy,"Bloomington, Indiana",Blue,Tumbled stone,Third Eye; Throat,Taurus; Libra; Scorpio
item_026,Blue_Kyanite.jpg,Blue Kyanite,Image/JPEG,Relaxation; Sleep; Dreams; Intuition; Calming,"Louisville, Kentucky",Blue; Black,Tumbled stone,Third Eye; Throat,Gemini; Pisces
